,原矿水分,原矿硫化铜含量,原矿硫化铜金属,原矿全铜金属,原矿折干,原矿数量,原氧化铜含量,取数日期,原铜含量,精铜原矿数量,精铜水分,精铜金属铜,精铜矿折干,硫化铜回收率,精铜总铜含量,精铜硫化金属铜,精铜硫化铜品位
208,0.2253,0.012100000000000001,56.022867280000014,312.07005036000004,10094.4161,11378.0,0.0521,2025-01-01,0.06420000000000001,46.446,0.2122,6.05933029728,36.5901588,0.11930769139149522,0.1656,4.7384255646,0.1295
209,0.225,0.0207,86.99478715,326.67670065000004,8408.063,9474.0,0.057,2025-01-02,0.0777,450.78,0.4212,88.25140615320001,355.964652,1.5797004310784972,0.49200000000000005,68.031892908,0.38060000000000005
210,0.2349,0.020700000000000003,86.47427661,302.34708066,8352.1293,9464.0,0.051699999999999996,2025-01-03,0.07239999999999999,440.12,0.42789999999999995,81.6609104424,345.97188,1.501346096841655,0.4723,65.14544097359999,0.37559999999999993
211,0.2372,0.0242,103.66548496000001,298.2858328000001,8551.5272,9703.0,0.0456,2025-01-04,0.0698,589.1,0.42510000000000003,91.2835803924,463.790954,1.4711253338282533,0.3951,75.9113829628,0.32920000000000005
212,0.2251,0.0267,120.82867416,317.8396181,9052.2974,10200.0,0.0435,2025-01-05,0.0702,519.6,0.4118,94.59007819440001,412.686012,1.3605153064408113,0.4568,82.23124828440001,0.3964
213,0.2389,0.016900000000000002,78.02986018000001,270.98287492000003,9251.956400000001,10507.0,0.0417,2025-01-06,0.0586,492.52,0.42080000000000006,91.81615436919999,388.895028,3.323139253592502,0.47219999999999995,81.445408442,0.4188
214,0.2445,0.028499999999999998,132.49976585999997,302.85376617,9300.8375,10597.0,0.036599999999999994,2025-01-07,0.06509999999999999,527.74,0.4095,112.049330161,419.864326,1.5284976130404355,0.5350999999999999,101.3497741082,0.484
215,0.22290000000000001,0.0266,109.93045663999999,287.40710128,8205.812,9243.0,0.0436,2025-01-08,0.0702,539.56,0.4408,87.2374835328,420.640336,1.363901793823273,0.4148,74.07115296799999,0.35219999999999996
216,0.242,0.0267,122.1498702,331.2958416,9152.214,10414.0,0.0457,2025-01-09,0.07239999999999999,475.05999999999995,0.43220000000000003,89.64009617079999,372.36254199999996,1.2704645082883235,0.4815,77.5215586262,0.4164
217,0.2403,0.027700000000000002,124.00798701000001,325.46929272,8953.2461,10176.0,0.045,2025-01-10,0.0727,477.32,0.43370000000000003,102.03595273799999,373.813884,1.4107438063408864,0.5459,87.456079098,0.46790000000000004
218,0.2522,0.027200000000000002,112.95069428999999,326.8028960099999,8304.5253,9503.0,0.0515,2025-01-11,0.07869999999999999,548.53,0.4204,115.94414766099999,433.226855,1.7434394203395498,0.5353,98.37871204099999,0.45419999999999994
219,0.23909999999999998,0.027800000000000002,117.53794638000001,312.79868691,8464.2471,9613.0,0.0461,2025-01-12,0.0739,515.06,0.41509999999999997,111.9066102882,408.15520200000003,1.6497114974855607,0.5497000000000001,96.729632727,0.4754
220,0.23179999999999998,0.0297,124.0495051,305.87486572,8372.1506,9469.0,0.0434,2025-01-13,0.0731,549.0,0.4298,104.6737535202,431.034642,1.5165318133140455,0.48549999999999993,92.5203072996,0.42910000000000004
221,0.24609999999999999,0.0258,105.50467800000001,278.89227945000005,8178.4285,9326.0,0.0424,2025-01-14,0.0682,571.5999999999999,0.4498,95.512935794,442.90438,1.5480089199156843,0.4314,81.652942694,0.3689
222,0.2465,0.022600000000000002,93.694693,270.5452245,8289.650000000001,9455.0,0.0427,2025-01-15,0.0653,492.70000000000005,0.4198,90.9388091424,389.09060999999997,1.612641731806717,0.4687,75.5711752098,0.3901
