,明细_所属分类,填表人,图片,流水号,文件,审批状态,数据日期,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
40,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,7期酪蛋白消耗,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,KG
41,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,7期煤油消耗,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,10000.0,煤油,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,升
42,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,五期电解铜生产入库,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,201.456,产量,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,吨
43,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,四期电解铜生产入库,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,产量,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,吨
44,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,五期电解铜生产入库,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,26.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,槽
45,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,四期电解铜生产入库,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,槽
46,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,7期硫酸消耗,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,12.0,萃取硫酸,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,立方米
47,直接材料,李林,,KPKYT（DJCQ2）CJSCRBB-20240530-001,,结束,2024-05-01 00:00:00,七期萃取萃取量,5ddf43e8e4b09c41c06da2b5,2024-05-01,eaff4b821df645d4a1bbd0ce826be9fb,11000.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-30 02:10:35,6654500626abb50001c5f993,立方米
48,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,4-5期瓜尔胶消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,12.0,瓜尔胶,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,KG
49,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,7期硫脲消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,KG
50,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,7期硫酸亚铁消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,硫酸亚铁,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,KG
51,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,7期萃取剂消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,萃取剂,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,KG
52,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,7期酪蛋白消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,KG
53,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,7期煤油消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,煤油,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,升
54,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,五期电解铜生产入库,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,151.042,产量,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,吨
55,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,五期电解铜生产入库,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,24.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,槽
