,明细_所属分类,取数日期,数据日期,明细_数量,所属部门,明细_所属项目,班次,明细_项目,明细_计量单位
4437,直接材料,2024-07-25,2024-07-25 06:00:00,2185.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4438,直接材料,2024-07-25,2024-07-25 06:00:00,364.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4439,直接材料,2024-07-25,2024-07-25 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4440,直接材料,2024-07-25,2024-07-25 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4441,直接材料,2024-07-25,2024-07-25 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4442,直接材料,2024-07-25,2024-07-25 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4443,直接材料,2024-07-25,2024-07-25 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4444,直接材料,2024-07-25,2024-07-25 06:00:00,3.121,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4445,直接材料,2024-07-25,2024-07-25 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4446,直接材料,2024-07-26,2024-07-26 06:00:00,845.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4447,直接材料,2024-07-26,2024-07-26 06:00:00,2495.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4448,直接材料,2024-07-26,2024-07-26 06:00:00,361.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4449,直接材料,2024-07-26,2024-07-26 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4450,直接材料,2024-07-26,2024-07-26 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4451,直接材料,2024-07-26,2024-07-26 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4452,直接材料,2024-07-26,2024-07-26 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4453,直接材料,2024-07-26,2024-07-26 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4454,直接材料,2024-07-26,2024-07-26 06:00:00,3.612,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4455,直接材料,2024-07-26,2024-07-26 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4456,直接材料,2024-07-27,2024-07-27 06:00:00,1589.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4457,直接材料,2024-07-27,2024-07-27 06:00:00,2205.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4458,直接材料,2024-07-27,2024-07-27 06:00:00,312.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4459,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4460,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4461,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4462,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4463,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4464,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4465,直接材料,2024-07-27,2024-07-27 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4466,直接材料,2024-07-28,2024-07-28 06:00:00,932.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4467,直接材料,2024-07-28,2024-07-28 06:00:00,2934.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4468,直接材料,2024-07-28,2024-07-28 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4469,直接材料,2024-07-28,2024-07-28 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4470,直接材料,2024-07-28,2024-07-28 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4471,直接材料,2024-07-28,2024-07-28 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4472,直接材料,2024-07-28,2024-07-28 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4473,直接材料,2024-07-28,2024-07-28 06:00:00,3.443,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4474,直接材料,2024-07-28,2024-07-28 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4475,直接材料,2024-07-28,2024-07-28 06:00:00,404.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4476,直接材料,2024-07-29,2024-07-29 06:00:00,403.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4477,直接材料,2024-07-29,2024-07-29 06:00:00,1613.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4478,直接材料,2024-07-29,2024-07-29 06:00:00,256.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4479,直接材料,2024-07-29,2024-07-29 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4480,直接材料,2024-07-29,2024-07-29 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4481,直接材料,2024-07-29,2024-07-29 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4482,直接材料,2024-07-29,2024-07-29 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4483,直接材料,2024-07-29,2024-07-29 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4484,直接材料,2024-07-29,2024-07-29 06:00:00,3.272,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4485,直接材料,2024-07-29,2024-07-29 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4486,直接材料,2024-07-30,2024-07-30 06:00:00,584.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4487,直接材料,2024-07-30,2024-07-30 06:00:00,2706.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4488,直接材料,2024-07-30,2024-07-30 06:00:00,312.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4489,直接材料,2024-07-30,2024-07-30 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4490,直接材料,2024-07-30,2024-07-30 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4491,直接材料,2024-07-30,2024-07-30 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4492,直接材料,2024-07-30,2024-07-30 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4493,直接材料,2024-07-30,2024-07-30 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4494,直接材料,2024-07-30,2024-07-30 06:00:00,2.552,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4495,直接材料,2024-07-30,2024-07-30 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4496,直接材料,2024-07-31,2024-07-31 06:00:00,526.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4497,直接材料,2024-07-31,2024-07-31 06:00:00,717.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4498,直接材料,2024-07-31,2024-07-31 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4499,直接材料,2024-07-31,2024-07-31 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4500,直接材料,2024-07-31,2024-07-31 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4501,直接材料,2024-07-31,2024-07-31 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4502,直接材料,2024-07-31,2024-07-31 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4503,直接材料,2024-07-31,2024-07-31 06:00:00,3.536,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4504,直接材料,2024-07-31,2024-07-31 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4505,直接材料,2024-07-31,2024-07-31 06:00:00,150.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4506,直接材料,2024-08-01,2024-08-01 06:00:00,497.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4507,直接材料,2024-08-01,2024-08-01 06:00:00,1138.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4508,直接材料,2024-08-01,2024-08-01 06:00:00,184.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4509,直接材料,2024-08-01,2024-08-01 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4510,直接材料,2024-08-01,2024-08-01 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4511,直接材料,2024-08-01,2024-08-01 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4512,直接材料,2024-08-01,2024-08-01 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4513,直接材料,2024-08-01,2024-08-01 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4514,直接材料,2024-08-01,2024-08-01 06:00:00,2.25,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4515,直接材料,2024-08-01,2024-08-01 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4516,直接材料,2024-08-02,2024-08-02 06:00:00,292.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4517,直接材料,2024-08-02,2024-08-02 06:00:00,3702.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4518,直接材料,2024-08-02,2024-08-02 06:00:00,384.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4519,直接材料,2024-08-02,2024-08-02 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4520,直接材料,2024-08-02,2024-08-02 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4521,直接材料,2024-08-02,2024-08-02 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4522,直接材料,2024-08-02,2024-08-02 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4523,直接材料,2024-08-02,2024-08-02 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4524,直接材料,2024-08-02,2024-08-02 06:00:00,3.114,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4525,直接材料,2024-08-02,2024-08-02 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4526,直接材料,2024-08-03,2024-08-03 06:00:00,249.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4527,直接材料,2024-08-03,2024-08-03 06:00:00,741.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4528,直接材料,2024-08-03,2024-08-03 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4529,直接材料,2024-08-03,2024-08-03 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4530,直接材料,2024-08-03,2024-08-03 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4531,直接材料,2024-08-03,2024-08-03 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4532,直接材料,2024-08-03,2024-08-03 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4533,直接材料,2024-08-03,2024-08-03 06:00:00,1.446,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4534,直接材料,2024-08-03,2024-08-03 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4535,直接材料,2024-08-03,2024-08-03 06:00:00,132.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4536,直接材料,2024-08-05,2024-08-05 06:00:00,915.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4537,直接材料,2024-08-05,2024-08-05 06:00:00,2100.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4538,直接材料,2024-08-05,2024-08-05 06:00:00,285.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4539,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4540,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4541,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4542,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4543,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4544,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4545,直接材料,2024-08-05,2024-08-05 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4546,直接材料,2024-08-06,2024-08-06 06:00:00,424.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4547,直接材料,2024-08-06,2024-08-06 06:00:00,994.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4548,直接材料,2024-08-06,2024-08-06 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4549,直接材料,2024-08-06,2024-08-06 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4550,直接材料,2024-08-06,2024-08-06 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4551,直接材料,2024-08-06,2024-08-06 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4552,直接材料,2024-08-06,2024-08-06 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4553,直接材料,2024-08-06,2024-08-06 06:00:00,2.929,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4554,直接材料,2024-08-06,2024-08-06 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4555,直接材料,2024-08-06,2024-08-06 06:00:00,157.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4556,直接材料,2024-08-07,2024-08-07 06:00:00,653.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4557,直接材料,2024-08-07,2024-08-07 06:00:00,1820.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4558,直接材料,2024-08-07,2024-08-07 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4559,直接材料,2024-08-07,2024-08-07 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4560,直接材料,2024-08-07,2024-08-07 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4561,直接材料,2024-08-07,2024-08-07 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4562,直接材料,2024-08-07,2024-08-07 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4563,直接材料,2024-08-07,2024-08-07 06:00:00,2.42,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4564,直接材料,2024-08-07,2024-08-07 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4565,直接材料,2024-08-07,2024-08-07 06:00:00,268.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4566,直接材料,2024-08-08,2024-08-08 06:00:00,555.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4567,直接材料,2024-08-08,2024-08-08 06:00:00,900.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4568,直接材料,2024-08-08,2024-08-08 06:00:00,132.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4569,直接材料,2024-08-08,2024-08-08 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4570,直接材料,2024-08-08,2024-08-08 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4571,直接材料,2024-08-08,2024-08-08 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4572,直接材料,2024-08-08,2024-08-08 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4573,直接材料,2024-08-08,2024-08-08 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4574,直接材料,2024-08-08,2024-08-08 06:00:00,2.234,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4575,直接材料,2024-08-08,2024-08-08 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4576,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4577,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4578,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4579,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4580,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4581,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4582,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4583,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4584,直接材料,2024-08-09,2024-08-09 06:00:00,2.124,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4585,直接材料,2024-08-09,2024-08-09 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4586,直接材料,2024-08-10,2024-08-10 06:00:00,765.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4587,直接材料,2024-08-10,2024-08-10 06:00:00,2563.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4588,直接材料,2024-08-10,2024-08-10 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4589,直接材料,2024-08-10,2024-08-10 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4590,直接材料,2024-08-10,2024-08-10 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4591,直接材料,2024-08-10,2024-08-10 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4592,直接材料,2024-08-10,2024-08-10 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4593,直接材料,2024-08-10,2024-08-10 06:00:00,1.741,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4594,直接材料,2024-08-10,2024-08-10 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4595,直接材料,2024-08-10,2024-08-10 06:00:00,354.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4596,直接材料,2024-08-11,2024-08-11 06:00:00,571.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4597,直接材料,2024-08-11,2024-08-11 06:00:00,1100.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4598,直接材料,2024-08-11,2024-08-11 06:00:00,140.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4599,直接材料,2024-08-11,2024-08-11 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4600,直接材料,2024-08-11,2024-08-11 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4601,直接材料,2024-08-11,2024-08-11 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4602,直接材料,2024-08-11,2024-08-11 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4603,直接材料,2024-08-11,2024-08-11 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4604,直接材料,2024-08-11,2024-08-11 06:00:00,2.514,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4605,直接材料,2024-08-11,2024-08-11 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4606,直接材料,2024-08-12,2024-08-12 06:00:00,624.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4607,直接材料,2024-08-12,2024-08-12 06:00:00,2103.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4608,直接材料,2024-08-12,2024-08-12 06:00:00,0.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4609,直接材料,2024-08-12,2024-08-12 06:00:00,0.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4610,直接材料,2024-08-12,2024-08-12 06:00:00,0.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4611,直接材料,2024-08-12,2024-08-12 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4612,直接材料,2024-08-12,2024-08-12 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4613,直接材料,2024-08-12,2024-08-12 06:00:00,1.777,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4614,直接材料,2024-08-12,2024-08-12 06:00:00,0.0,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4615,直接材料,2024-08-12,2024-08-12 06:00:00,284.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,方
4616,直接材料,2024-08-14,2024-08-14 06:00:00,793.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4617,直接材料,2024-08-14,2024-08-14 06:00:00,2572.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4618,直接材料,2024-08-14,2024-08-14 06:00:00,351.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4619,直接材料,2024-08-14,2024-08-14 06:00:00,32.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4620,直接材料,2024-08-14,2024-08-14 06:00:00,65.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4621,直接材料,2024-08-14,2024-08-14 06:00:00,308.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4622,直接材料,2024-08-14,2024-08-14 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4623,直接材料,2024-08-14,2024-08-14 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4624,直接材料,2024-08-14,2024-08-14 06:00:00,2.57,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4625,直接材料,2024-08-14,2024-08-14 06:00:00,0.226,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4626,直接材料,2024-08-15,2024-08-15 06:00:00,1212.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4627,直接材料,2024-08-15,2024-08-15 06:00:00,2406.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4628,直接材料,2024-08-15,2024-08-15 06:00:00,340.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4629,直接材料,2024-08-15,2024-08-15 06:00:00,59.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4630,直接材料,2024-08-15,2024-08-15 06:00:00,260.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4631,直接材料,2024-08-15,2024-08-15 06:00:00,836.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4632,直接材料,2024-08-15,2024-08-15 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4633,直接材料,2024-08-15,2024-08-15 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4634,直接材料,2024-08-15,2024-08-15 06:00:00,3.65,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4635,直接材料,2024-08-15,2024-08-15 06:00:00,0.985,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4636,直接材料,2024-08-16,2024-08-16 06:00:00,1204.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4637,直接材料,2024-08-16,2024-08-16 06:00:00,4844.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4638,直接材料,2024-08-16,2024-08-16 06:00:00,568.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4639,直接材料,2024-08-16,2024-08-16 06:00:00,382.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
4640,直接材料,2024-08-16,2024-08-16 06:00:00,1559.0,选矿分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
4641,直接材料,2024-08-16,2024-08-16 06:00:00,1607.0,选矿分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
4642,直接材料,2024-08-16,2024-08-16 06:00:00,0.0,选矿分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
4643,直接材料,2024-08-16,2024-08-16 06:00:00,0.0,选矿分厂,衬板,夜班,4、5号球磨衬板消耗,吨
4644,直接材料,2024-08-16,2024-08-16 06:00:00,3.787,选矿分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
4645,直接材料,2024-08-16,2024-08-16 06:00:00,1.212,选矿分厂,钢球,夜班,4、5号球磨钢球消耗,吨
4646,直接材料,2024-08-17,2024-08-17 06:00:00,959.0,选矿分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
4647,直接材料,2024-08-17,2024-08-17 06:00:00,1000.0,选矿分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
4648,直接材料,2024-08-17,2024-08-17 06:00:00,185.0,选矿分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4649,直接材料,2024-08-17,2024-08-17 06:00:00,66.0,选矿分厂,暂无分类,夜班,4、5号球磨用水量,吨
