,明细_所属分类,取数日期,数据日期,明细_数量,所属部门,明细_所属项目,班次,明细_项目,明细_计量单位
73,直接材料,2025-05-07,2025-05-07 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
74,直接材料,2025-05-07,2025-05-07 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
75,直接材料,2025-05-07,2025-05-07 06:00:00,1.864,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
76,直接材料,2025-05-07,2025-05-07 06:00:00,0.498,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
77,直接材料,2025-05-08,2025-05-08 06:00:00,25.0,动力设备分厂,絮凝剂,夜班,,kg
78,直接材料,2025-05-08,2025-05-08 06:00:00,0.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
79,直接材料,2025-05-08,2025-05-08 06:00:00,2551.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
80,直接材料,2025-05-08,2025-05-08 06:00:00,220.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
81,直接材料,2025-05-08,2025-05-08 06:00:00,120.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
82,直接材料,2025-05-08,2025-05-08 06:00:00,685.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
83,直接材料,2025-05-08,2025-05-08 06:00:00,743.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
84,直接材料,2025-05-08,2025-05-08 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
85,直接材料,2025-05-08,2025-05-08 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
86,直接材料,2025-05-08,2025-05-08 06:00:00,0.793,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
87,直接材料,2025-05-08,2025-05-08 06:00:00,0.336,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
88,直接材料,2025-05-09,2025-05-09 06:00:00,25.0,动力设备分厂,絮凝剂,夜班,,Kg
89,直接材料,2025-05-09,2025-05-09 06:00:00,0.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
90,直接材料,2025-05-09,2025-05-09 06:00:00,2263.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
91,直接材料,2025-05-09,2025-05-09 06:00:00,190.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
92,直接材料,2025-05-09,2025-05-09 06:00:00,130.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
93,直接材料,2025-05-09,2025-05-09 06:00:00,760.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
94,直接材料,2025-05-09,2025-05-09 06:00:00,829.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
95,直接材料,2025-05-09,2025-05-09 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
96,直接材料,2025-05-09,2025-05-09 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
97,直接材料,2025-05-09,2025-05-09 06:00:00,1.35,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
98,直接材料,2025-05-09,2025-05-09 06:00:00,0.356,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
99,直接材料,2025-05-10,2025-05-10 06:00:00,25.0,动力设备分厂,絮凝剂,夜班,,Kg
100,直接材料,2025-05-10,2025-05-10 06:00:00,0.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
101,直接材料,2025-05-10,2025-05-10 06:00:00,1618.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
102,直接材料,2025-05-10,2025-05-10 06:00:00,140.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
103,直接材料,2025-05-10,2025-05-10 06:00:00,120.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
104,直接材料,2025-05-10,2025-05-10 06:00:00,748.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
105,直接材料,2025-05-10,2025-05-10 06:00:00,763.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
106,直接材料,2025-05-10,2025-05-10 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
107,直接材料,2025-05-10,2025-05-10 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
108,直接材料,2025-05-10,2025-05-10 06:00:00,1.127,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
109,直接材料,2025-05-10,2025-05-10 06:00:00,0.368,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
110,直接材料,2025-05-11,2025-05-11 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
111,直接材料,2025-05-11,2025-05-11 06:00:00,1081.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
112,直接材料,2025-05-11,2025-05-11 06:00:00,2199.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
113,直接材料,2025-05-11,2025-05-11 06:00:00,280.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
114,直接材料,2025-05-11,2025-05-11 06:00:00,120.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
115,直接材料,2025-05-11,2025-05-11 06:00:00,889.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
116,直接材料,2025-05-11,2025-05-11 06:00:00,633.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
117,直接材料,2025-05-11,2025-05-11 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
118,直接材料,2025-05-11,2025-05-11 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
119,直接材料,2025-05-11,2025-05-11 06:00:00,1.428,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
120,直接材料,2025-05-11,2025-05-11 06:00:00,0.433,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
121,直接材料,2025-05-12,2025-05-12 06:00:00,25.0,动力设备分厂,絮凝剂,夜班,,kg
122,直接材料,2025-05-12,2025-05-12 06:00:00,493.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
123,直接材料,2025-05-12,2025-05-12 06:00:00,916.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
