,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
36,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-001,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨用水量,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,1224.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 04:30:42,665852eecfa09900015eefbe,立方米
37,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨絮凝剂消耗,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,175.0,絮凝剂,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,kg
38,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨2号油消耗,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,140.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,千克
39,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨乙硫氨酯,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,172.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,千克
40,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨戊基黄药,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,594.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,千克
41,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨磨矿量湿重,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,5291.0,磨浮矿石,水分11.7％,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,吨
42,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨衬板消耗,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,吨
43,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨钢球消耗,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,8.0,钢球,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,吨
44,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,铜精矿产量,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,170.0,铜精矿水份,水分17.93％,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,吨
45,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-002,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨用水量,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,1394.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 06:49:58,665852eecfa09900015eefbe,立方米
46,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨絮凝剂消耗,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,220.0,絮凝剂,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,kg
47,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨2号油消耗,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,118.8,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,千克
48,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨乙硫氨酯,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,172.8,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,千克
49,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨戊基黄药,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,594.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,千克
50,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨磨矿量湿重,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,5309.0,磨浮矿石,水分11.7％,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,吨
51,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨衬板消耗,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,吨
52,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨钢球消耗,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,钢球,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,吨
53,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,铜精矿产量,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,130.0,铜精矿水份,水分17.83％,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,吨
54,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240603-001,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨用水量,664aef5ce4b014e238bb145a,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,1249.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 05:24:12,665852eecfa09900015eefbe,立方米
