,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
44,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,碳酸钠（纯碱）消耗,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,KG
45,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,阻垢剂消耗,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,KG
46,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,外购硫酸数量,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,188.68,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,吨
47,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,硫磺入库,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,74.56,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,吨
48,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,硫磺消耗,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,29.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,吨
49,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,立方米
50,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,打入半自磨硫酸数量,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,半自磨硫酸,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,立方米
51,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,打入浓密硫酸数量,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,立方米
52,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,硫酸生产出酸产量,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,48.37,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,立方米
53,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,硫磺入库,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,56.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,袋
54,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-001,,,结束,2024-06-01 06:00:00,硫酸分厂,硫磺消耗,664aef5ce4b014e238bb144b,2024-06-01,38c28f7b4c8c4af191a6c5f70c13473b,29.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 21:47:30,6654506926abb50001c5fa6c,袋
55,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,碳酸钠（纯碱）消耗,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,KG
56,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,阻垢剂消耗,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,KG
